"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2020-04-01","Protests","Peaceful protest","Protesters (Philippines)","","","","Protesters (Philippi","nan","nan","nan","Soccsksargen","Cotabato","President Roxas","President Roxas","7.1544","125.0558","1","Mindanao Goldstar Daily; Philippine Daily Inquirer","Subnational-National","0","On 1 April 2020, residents of President Roxas, Cotabato staged a demonstration in front of a government-run hospital in the same town, barricading the hospital's entrance to oppose the local government's plan to transform it into a COVID-19 (coronavirus) quarantine site. [size=no report]"
"2020-04-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Zamboanga Peninsula","Zamboanga Sibugay","Siay","Balagon","7.8074","122.903","1","ABS CBN; Manila Bulletin; Sunstar (Philippines)","National","1","On 1 April 2020, a suspected NPA militant was killed during a 20-minute firefight between the NPA and the military in Barangay Balagon, Siay, Zamboanga Sibugay. The military said it was conducting an information campaign in the barangay on the COVID-19 (Coronavirus) pandemic when the encounter took place. The military reported no casualties and said it retrieved weapons from the rebels. The clash happened while the respective ceasefire declarations of the government and the rebels are in effect until 15 April 2020 amid the pandemic."
"2020-04-01","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Calabarzon","Quezon","Mulanay","Ilayang Yuni","13.4556","122.5162","1","GMA News; Philippine Daily Inquirer; Abante","National","1","On 1 April 2020, a suspected NPA militant was killed while a government soldier was wounded during a clash between the NPA and the military in Barangay Ilayang Yuni, Mulanay, Quezon. The military said it was conducting a mission related to the government response to the COVID-19 (Coronavirus) pandemic when the encounter took place. The military reported no casualties and said it retrieved weapons from the rebels. The clash happened while the respective ceasefire declarations of the government and the rebels are in effect until 15 April 2020 amid the pandemic."
"2020-04-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Manila Bulletin; GMA News; ABS CBN","National","1","On 1 April 2020, a drug suspect - who was also a village volunteer monitoring the implementation of a COVID-19 (coronavirus)-related curfew - was shot dead in a vigilante-style attack by unidentified assailants while he was on duty at the monitoring booth in Barangay Bagong Silangan, Quezon City. Police said the victim was on the drug watchlist."
"2020-04-01","Protests","Protest with intervention","Protesters (Philippines)","","Police Forces of the Philippines (2016-)","","Protesters (Philippi","nan","Police Forces of the","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Abante; Sunstar (Philippines); Rappler; Philippine Star; CNN","National-International","0","On 1 April 2020, residents of Sitio San Roque, Barangay Bagong Pag-Asa, Quezon City, who were part of the community organization Samahan ng Magkakapitbahayang North Triangle Association (SAMANA), staged a demonstration by the Epifanio de los Santos (EDSA) Avenue in the same city to decry the supposed lack of government aid during the Luzon-wide Enhanced Community Quarantine (ECQ) implemented amid the COVID-19 (coronavirus) pandemic. Police dispersed the demonstration and arrested 21 demonstrators for supposedly violating ECQ guidelines through their public gathering. [size=at least 21]"
"2020-04-01","Strategic developments","Arrests","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","","Police Forces of the","nan","Civilians (Philippin","nan","Western Visayas","Negros Occidental","Bacolod","Bacolod","10.6666","122.95","1","Sunstar (Philippines)","National","0","From 29 March to 4 April 2020, more than 1,000 individuals were arrested by the police in Bacolod, Negros Occidental, for purportedly violating measures put in place amid the COVID-19 (coronavirus) pandemic. Some of the arrested were charged with disobedience to persons in authority."
"2020-04-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Argao","Alambijud","9.9584","123.5119","1","Cebu Daily News; Freeman (Philippines)","Subnational","2","On 2 April 2020, two drug suspects were shot dead in a vigilante-style attack by unidentified assailants in Barangay Alambijud, Argao, Cebu. Police said one of the drug suspects had been in jail for illegal drugs. Police also said that the two fatalities were persons under monitoring (PUM) for COVID-19 (coronavirus) due to their travel history."
"2020-04-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Health Workers (Philippines)","Unidentified Armed G","nan","Civilians (Philippin","Health Workers (Phil","Calabarzon","Quezon","Candelaria","Candelaria","13.9311","121.4233","1","Abante; GMA News; Philippine Star","National","0","On 2 April 2020, an ambulance driver was wounded after being shot by an unidentified assailant in Candelaria, Quezon. The assailant harassed the ambulance driver for parking the ambulance in a residential district and said that the ambulance could be infected with the COVID-19 (coronavirus). The hospital called for justice and decried the attack as an example of discrimination health workers are increasingly facing in the midst of the coronavirus pandemic."
"2020-04-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Farmers (Philippines)","Police Forces of the","nan","Civilians (Philippin","Farmers (Philippines","Caraga","Agusan del Norte","Nasipit","Amontay","8.9063","125.3157","1","Rappler; Philippine Daily Inquirer","National","1","On 2 April 2020, a farmer was shot dead by police at a national highway checkpoint set up amid the COVID-19 (coronavirus) pandemic in Barangay Amontay, Nasipit, Agusan del Sur. The farmer was scolded by checkpoint personnel for not wearing a face mask. Police allege that the farmer became unruly towards a health worker and Barangay officials, and attempted to hack a police officer with a scythe. The farmer was the first civilian casualty after President Rodrigo Duterte told military and police the previous day that they were authorized to shoot dead those found in violation of coronavirus-related measures."
"2020-04-03","Battles","Armed clash","Armed Drug Suspects (Philippines)","","Police Forces of the Philippines (2010-2016) Barangay Peace and Security Officer","","Armed Drug Suspects ","nan","Police Forces of the","nan","Central Visayas","Cebu","Mandaue","Mandaue","10.3352","123.9397","1","Sunstar (Philippines)","National","0","On 3 April 2020, a village watchman was wounded after being shot by a drug suspect in Barangay Labogon, Mandaue, Cebu, after the watchman called out the drug suspect for supposedly violating Enhanced Community Quarantine (ECQ) measures in place due to the COVID-19 (coronavirus) pandemic. Police said the drug suspect had previously been detained on drug charges."
