"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2017-10-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","3","Philippine Star","National","1","A drug suspect was shot dead shot dead in a vigilante-style attack by unidentified armed men in Luzon region on October 5."
"2017-10-01","Battles","Armed clash","Maute Group","ASG: Abu Sayyaf","Military Forces of the Philippines (2016-)","","Maute Group","ASG: Abu Sayyaf","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Manila Times","National","0","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on October 1 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. No new fatalities were reported for Oct 1."
"2017-10-02","Battles","Armed clash","Maute Group","ASG: Abu Sayyaf","Military Forces of the Philippines (2016-)","","Maute Group","ASG: Abu Sayyaf","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Philippine Daily Inquirer","National","3","The Philippine security forces continued their airstrikes, artillery fire and ground assaults on October 2 to flush out militants from parts of Marawi city occupied by a combined Maute and Abu Sayyaf force. According to government sources, as of Oct 4 the ongoing military operations left at least 961 people dead - 759 militants, 155 government security forces and 47 civilians. (10 fatalities have been divided among the days from Oct 2 to Oct 4.)"
"2017-10-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Zamboanga Peninsula","Zamboanga del Norte","Katipunan","Katipunan","8.4113","123.2789","2","Foundation for Media Alternatives; Sunstar (Philippines)","Local partner-National","1","A drug suspect was killed during a police raid at Katipunan, Zamboanga del Norte on 02 Oct 2017."
"2017-10-02","Battles","Armed clash","Armed Drug Suspects (Philippines)","","Police Forces of the Philippines (2016-)","","Armed Drug Suspects ","nan","Police Forces of the","nan","Cagayan Valley","Cagayan","Tuguegarao","Tuguegarao","17.6157","121.7228","1","Philippine Star","National","1","An anti-drug operative was shot dead by unidentified armed men in Barangay Pengue-Ruyu, Tuguegarao on October 2. The motive for the killing could be work related. His associated was injured."
"2017-10-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","NCR","Metro Manila","Malabon","Malabon","14.6665","120.9653","1","Manila Times","National","1","A village councilor was shot dead and one of his friends was wounded in an ambush by unidentified motorcycle-riding men in Malabon City on October 2 night. The motive for the killing is unclear."
"2017-10-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Philippine Star","National","1","A drug suspect was shot dead shot dead in a vigilante-style attack by unidentified armed men along Herbosa street in Tondo, Manila on October 2 night."
"2017-10-02","Riots","Violent demonstration","Rioters (Philippines)","","","","Rioters (Philippines","nan","nan","nan","Mimaropa Region","Palawan","Puerto Princesa","Puerto Princesa","9.7391","118.7352","1","Manila Times","National","0","Supporters of dismissed City Mayor Lucilo Bayron barricaded the Puerto Princesa city, Palawan hall gate on October 1, to prevent the Department of Interior and Local Government (DILG)-Region 4B Director Florida Dijan from serving the dismissal order against the mayor. Day 1"
"2017-10-02","Strategic developments","Agreement","Lanao del Sur Communal Militia (Philippines)","","Military Forces of the Philippines (2016-)","","Lanao del Sur Commun","nan","Military Forces of t","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","2","Philippine Star","National","0","Residents in five Lanao del Sur towns (Kapatagan, Malabang, Picong and Marogong) surrendered 140 assorted firearms on October 2 in support of a disarmament program of the Philippine Army."
"2017-10-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Mimaropa Region","Oriental Mindoro","Puerto Galera","Tabinay","13.4871","120.9566","1","Philippine Star","National","2","A town councilor and his son were shot dead by unidentified motorcycle-riding men near their house in Barangay Tabinay, Puerto Galera, Oriental Mindoro on October 2. The motive for the killing is unclear."
