"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2018-04-01","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines); Women (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","NCR","Metro Manila","Caloocan","Caloocan","14.6495","120.9678","1","Philippine Star","National","1","A drug suspect was shot dead in a vigilante-style attack by unidentified armed men outsider her house in Caloocan (National Capital Region, Metro Manila) on April 1."
"2018-04-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Philippine Star","National","2","Unidentified assailants attacked two civilians at Batasan Hills in Quezon City (National Capital Region, Metro Manila) on 1 April. The victims were on a motorcycle. Both of them died."
"2018-04-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","NCR","Metro Manila","Quezon City","Quezon City","14.6488","121.0509","1","Philippine Star","National","1","An unidentified man was shot by an unidentified assailant along Commonwealth in Quezon City (National Capital Region, Metro Manila) on April 1. The unidentified man died."
"2018-04-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","","Unidentified Armed G","nan","Civilians (Philippin","nan","NCR","Metro Manila","Caloocan","Caloocan","14.6495","120.9678","1","Philippine Star","National","1","A man was shot by an unidentified assailant while walking along the street in Caloocan (National Capital Region, Metro Manila) on April 1."
"2018-04-02","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Soccsksargen","South Cotabato","General Santos","General Santos","6.1127","125.1716","1","Thai News Service","Regional","2","Two suspected drug personalities were killed during a police raid in in General Santos, South Cotabato on 2 April."
"2018-04-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Caraga","Surigao del Sur","San Miguel","Bolhoon","8.844","125.9859","1","Mindanao Times","Subnational","0","Soldiers of the 36th Infantry Battalion encountered NPA rebels at Barangay Bolhoon, San Miguel (Caraga, Surigao del Sur) on April 2. No casualties reported."
"2018-04-02","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Cordova","Cordova","10.25","123.95","2","Sunstar (Philippines)","National","1","A drug suspect was shot dead and his partner wounded in a vigilante-style attack by unidentified armed men in Cordova (Central Visayas, Cebu) on April 2."
"2018-04-02","Violence against civilians","Attack","NPA: New People's Army","","Civilians (Philippines)","Government of the Philippines (2016-)","NPA: New People's Ar","nan","Civilians (Philippin","Government of the Ph","Central Visayas","Negros Oriental","Guihulngan","Guihulngan","10.1214","123.2742","1","Thai News Service; Manila Times","National-Regional","1","2 unidentified armed gunmen on a motorcycle shot a town councilor within Guihulngan City (Negros Island, Negros Oriental) on April 2. The victim was on the NPA hit list, the NPA have denied responsibility for the attack."
"2018-04-03","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Government of the Philippines (2016-); Police Forces of the Philippines (2016-) Barangay Peace and Security Officer","Unidentified Armed G","nan","Civilians (Philippin","Government of the Ph","Soccsksargen","Cotabato","Carmen","Carmen","7.204","124.792","2","Philippine Star","National","2","2 unidentified armed gunmen on a motorcycle shot a village chair and a village watchman in Carmen (Soccskargen, Cotabatol) on April 3. Police suspect that the attack is linked to his support for the government's war on drugs and his role in monitoring the activities of Isis-State inspired militants."
"2018-04-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Cebu","Cebu City","Cebu City","10.3167","123.8907","1","Sunstar (Philippines)","National","0","A drug suspect was wounded during a police raid in Cebu City, Cebu province on April 3."
