"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2020-02-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Mabitac","Paagahan","14.4405","121.4064","1","Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid in Barangay Paagahan, Mabitac, Laguna on 1 February 2020. Police said the fatality was on their drug watchlist."
"2020-02-01","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Laguna","Calamba","Calamba","14.2117","121.1653","1","Abante; ABS CBN; Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid in Barangay Barandal, Calamba, Laguna on 1 February 2020. Police said the fatality was a high-value target and a member of a known crime and drug gang."
"2020-02-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Police Forces of the Philippines (2016-)","Unidentified Armed G","nan","Civilians (Philippin","Former Police Forces","Central Visayas","Negros Oriental","Sibulan","Ajong","9.3749","123.2559","1","Sunstar (Philippines); Cebu Daily News","Subnational-National","1","On 1 February 2020, a former police officer was shot dead by unidentified motorcycle-riding assailants in Barangay Ajong, Sibulan, Negros Oriental. The fatality was later said to be a suspect in the killing of the deputy chief of police of San Jose, Negros Oriental on 28 January 2020."
"2020-02-02","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","Former Police Forces of the Philippines (2016-) Barangay Peace and Security Officer","Unidentified Armed G","nan","Civilians (Philippin","Former Police Forces","Central Visayas","Cebu","Talisay","Talisay","10.2447","123.8494","1","Freeman (Philippines)","Subnational","1","On 2 February 2020, a former Barangay watchman was shot dead by unidentified assailants in Barangay San Roque, Talisay, Cebu. The motive for the killing is unclear."
"2020-02-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","CAR","Abra","Pilar","Ocup","17.3536","120.5797","1","Northern Dispatch (Philippines); Philippine Daily Inquirer","Subnational-National","0","On 2 February 2020, suspected NPA militants and government troops engaged in a 20-minute firefight in Barangay Ocup, Pilar, Abra. There were no reported casualties on either side."
"2020-02-02","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","CAR","Abra","Pilar","Nagcanasan","17.3699","120.5637","1","Philippine Daily Inquirer; Northern Dispatch (Philippines)","Subnational-National","0","On 2 February 2020, suspected NPA militants and government troops engaged in a 20-minute firefight in Barangay Nagcanasan, Pilar, Abra. There were no reported casualties on either side, though the military said it retrieved weapons from an NPA camp it overran in the area. The NPA denied the existence of this camp, however."
"2020-02-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Cavite","Imus","Imus","14.4297","120.9366","1","Philippine Daily Inquirer; Philippine Star","National","1","A drug suspect was killed during a police raid in Barangay Malagasang 1G, Imus, Cavite on 3 February 2020. Police said the suspect was a high-value target."
"2020-02-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2016-)","","NPA: New People's Ar","nan","Military Forces of t","nan","Bicol Region","Camarines Sur","Lupi","Tible","13.8838","122.8964","1","GMA News; Philippine Daily Inquirer","National","0","On 3 February 2020, two soldiers were wounded in a 25-minute firefight with suspected NPA militants in Barangay Tible, Lupi, Camarines Sur. There were no reported rebel casualties."
"2020-02-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Cavite","Cavite City","Cavite City","14.4836","120.8987","1","Philippine Daily Inquirer; Philippine Star","National","1","A drug suspect was killed during a police raid in Barangay 48-A, Cavite City, Cavite on 3 February 2020."
"2020-02-03","Violence against civilians","Attack","Police Forces of the Philippines (2016-)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Calabarzon","Cavite","Rosario","Muzon 1","14.4203","120.8554","1","Philippine Star; Philippine Daily Inquirer","National","1","A drug suspect was killed during a police raid in Barangay Muzon 1, Rosario, Cavite on 3 February 2020."
