"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2016-06-01","Protests","Peaceful protest","Protesters (Philippines)","","","","Protesters (Philippi","nan","nan","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Bulatlat","National","0","Local residents launched a barricade outside Dr. Jose Fabella Memorial Hospital in Manila, Metro Manila on 1 June 2016 to stop the pull-out of equipment and demonstrate against its planned closure. Reports indicate that the barricade lasted at least until July 2016. [size=several]"
"2016-06-01","Violence against civilians","Attack","Unidentified Armed Group (Philippines)","","Civilians (Philippines)","PDP-Laban: Philippine Democratic Party-Power of the Nation","Unidentified Armed G","nan","Civilians (Philippin","PDP-Laban: Philippin","Caraga","Agusan del Sur","Trento","Poblacion","8.0505","126.0828","1","Philippine Daily Inquirer","National","1","On 1 Jun 2016, a newly elected town councilor under the Partido Demokratiko Pilipino-Lakas ng Bayan (PDP-Laban) was shot dead by unidentified armed men in Brgy. Poblacion, Trento, Agusan del Sur. Two other supporters were hurt."
"2016-06-01","Explosions/Remote violence","Remote explosive/landmine/IED","Maute Group","","Military Forces of the Philippines (2010-2016)","","Maute Group","nan","Military Forces of t","nan","BARMM","Lanao del Sur","Butig","Sandab","7.7017","124.3232","1","Philippine Daily Inquirer","National","2","On 1 Jun 2016, two soldiers were killed and five others wounded from am improvised explosive device (IED) explosion presumably planted by the Maute Group in Brgy. Sandab, Butig, Lanao del Sur. The explosion occurred following the military operations against the Maute in Butig, Lanao del Sur, which started on 26 May 2016."
"2016-06-02","Strategic developments","Non-violent transfer of territory","Military Forces of the Philippines (2010-2016)","","","","Military Forces of t","nan","nan","nan","BARMM","Lanao del Sur","Butig","Poctan","7.7578","124.3228","1","Thai News Service","Regional","0","On 2 Jun 2016, the military announced seizure of an training camp for the Maute by the 51st Infantry Battalion who were conducting clearing operations in Brgy. Poctan, Butig, Lanao del Sur."
"2016-06-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Negros Occidental","Talisay","Talisay","10.7375","122.9666","2","Philippine Daily Inquirer","National","1","A drug suspect was shot dead in a vigilante-style attack by unidentified armed men. His body was found in Brgy. Zone 15, Talisay City, Negros Occidental around 2-5 Jun 2016 with a sign 'I am a member of Akyat Bahay, a thief, an addict. Don't follow my example because you will be killed next'."
"2016-06-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Central Visayas","Negros Oriental","Dumaguete","Dumaguete","9.3064","123.3066","1","Philippine Daily Inquirer","National","1","A drug suspect and lawyer was shot dead in a vigilante-style attack by unidentified motorcycle-riding armed men at Brgy. Looc, Dumaguete City, Negros Oriental on 3 Jun 2016."
"2016-06-03","Strategic developments","Disrupted weapons use","Maute Group","","Police Forces of the Philippines (2010-2016)","","Maute Group","nan","Police Forces of the","nan","BARMM","Lanao del Sur","Marawi","Marawi","8.0034","124.2839","1","Philippine Daily Inquirer","National","0","Defusal: On 3 Jun 2016, an improvised explosive device (IED) was defused by Iligan city police in Brgy. Gadongan, Marawi City, Lanao del Sur. The bomb was reportedly intended for the military who are in the area, following military operations against the Maute in Butig, Lanao del Sur, which started on 26 May 2016."
"2016-06-03","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Negros Occidental","Calatrava","Calatrava","10.5949","123.4838","2","Philippine Daily Inquirer","National","1","A drug suspect was shot dead in a vigilante-style attack by unidentified armed men at Calatrava, Negros Occidental around 2-5 Jun 2016."
"2016-06-04","Strategic developments","Arrests","NPA: New People's Army","","Military Forces of the Philippines (2010-2016)","Police Forces of the Philippines (2010-2016)","NPA: New People's Ar","nan","Military Forces of t","Police Forces of the","Caraga","Agusan del Norte","Butuan","Butuan","8.9491","125.5436","1","Manila Times","National","0","Arrests: Assumed on 4 Jun 2016, two high profile leaders of the New People's Army (NPA) Guerilla Front Committee 4A Sparu unit and two others were captured during a raid by joint military and police forces in Butuan City, Agusan del Norte. (No shootout reported.)"
"2016-06-04","Violence against civilians","Attack","Anti-Drug Vigilantes (Philippines)","","Civilians (Philippines)","Drug Suspects (Philippines)","Anti-Drug Vigilantes","nan","Civilians (Philippin","Drug Suspects (Phili","Western Visayas","Iloilo","Leganes","San Vicente","10.7895","122.5787","1","Philippine Daily Inquirer","National","1","A drug suspect was shot dead in a vigilante-style attack by unidentified armed men. His body was found in Brgy. San Vicente, Leganes, Iloilo on 4 Jun 2016. He is being charged for a murder case and had been previously charged with several cases of robbery."
