"event_date","event_type","sub_event_type","actor1","assoc_actor_1","actor2","assoc_actor_2","comp_act1","comp_assoc_act1","comp_act2","comp_assoc_act2","Region","Province","Municipality","Baranggay","latitude","longitude","geo_precision","source","source_scale","fatalities","notes"
"2016-02-01","Violence against civilians","Attack","Police Forces of the Philippines (2010-2016)","","Civilians (Philippines)","Drug Suspects (Philippines)","Police Forces of the","nan","Civilians (Philippin","Drug Suspects (Phili","Central Luzon","Bulacan","San Jose del Monte","San Jose del Monte","14.8138","121.0452","1","Manila Times","National","2","An alleged drug pusher and his accomplice were killed during an anti-drug raid by the police on 1 Feb 2016 at San Jose del Monte City, Bulacan."
"2016-02-02","Explosions/Remote violence","Remote explosive/landmine/IED","MILF: Moro Islamic Liberation Front","","Civilians (Philippines)","LP: Liberal Party","MILF: Moro Islamic L","nan","Civilians (Philippin","LP: Liberal Party","Soccsksargen","Sultan Kudarat","Tacurong","Tacurong","6.6925","124.6763","1","Manila Times","National","0","A car bomb exploded on 2 Feb 2016 at Jose Abad Santos Street, Tacurong City, Sultan Kudarat, injuring three people. Leni Robredo, who is running for Vice President under the Liberal Party, was present in the area for campaigning and narrowly escaped the bombing, although it is unknown whether she was the target of the bombing. No-one claimed the attack although the Moro Islamic Freedom Fighters (MILF) are suspected to have been the perpetrators."
"2016-02-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2010-2016)","","NPA: New People's Ar","nan","Military Forces of t","nan","Bicol Region","Camarines Sur","Bato","San Isidro","13.3078","123.2636","1","Philippine Daily Inquirer","National","2","Two suspected New People's Army (NPA) members were killed in a clash with the Army on 3 Feb 2016 in San Isidro, Bato, Camarines Sur."
"2016-02-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2010-2016)","","NPA: New People's Ar","nan","Military Forces of t","nan","Davao Region","Davao de Oro","Pantukan","Napnapan","7.1248","125.9486","1","Philippine Daily Inquirer","National","1","A soldier of the 46th Infantry Battalion was killed during a clash with the New People's Army (NPA) on 3 Feb 2016 at Sitio Biasong in Barangay Napnapan area, Pantukan, Davao de Oro."
"2016-02-03","Strategic developments","Looting/property destruction","NPA: New People's Army","","Civilians (Philippines)","","NPA: New People's Ar","nan","Civilians (Philippin","nan","Davao Region","Davao de Oro","Pantukan","Napnapan","7.1248","125.9486","1","Philippine Daily Inquirer","National","0","Property destruction: The New People's Army (NPA) burned two houses as they were withdrawing from a clash with the Army. The event occurred at Purok 7, Sitio Biasong in Barangay Napnapan, Pantukan, Davao de Oro on 3 Feb 2016."
"2016-02-03","Battles","Armed clash","NPA: New People's Army","","Military Forces of the Philippines (2010-2016)","","NPA: New People's Ar","nan","Military Forces of t","nan","Davao Region","Davao de Oro","Pantukan","Tibagon","7.2327","125.8628","1","Philippine Daily Inquirer","National","2","Two soldiers of the 46th Infantry Battalion were killed and two more soldiers were wounded during a clash with the New People's Army (NPA) (Pulang Bagani Command 3), who set off explosive devices in Sitio Sapang Tin-aw in Barangay Tibagon area in Pantukan, Davao de Oro on 3 Feb 2016."
"2016-02-04","Explosions/Remote violence","Remote explosive/landmine/IED","ASG: Abu Sayyaf","","Military Forces of the Philippines (2010-2016)","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Sulu","Talipao","Lagtoh","5.9842","121.0538","1","Philippine Daily Inquirer","National","0","Seven members of the Marine Battalion Landing Team-10 were injured in a road bombing on 4 Feb 2016 in Barangay Lagtoh in Talipao, Sulu. The improvised explosive device is suspected to have been planted by Abu Sayyaf."
"2016-02-04","Protests","Peaceful protest","Protesters (Philippines)","BAYAN: Bagong Alyansang Makabayan","","","Protesters (Philippi","BAYAN: Bagong Alyans","nan","nan","NCR","Metro Manila","Manila","Manila","14.6042","120.9822","1","Bulatlat","National","0","Progressive groups led by the Bagong Alyansang Makabayan (Bayan) staged a protest on 4 Feb 2016 at the US embassy in Manila, Metro Manila demonstrating against the atrocities committed during the Philippine-American War and subsequent colonial dominance. [size=no report]"
"2016-02-04","Explosions/Remote violence","Remote explosive/landmine/IED","ASG: Abu Sayyaf","","Military Forces of the Philippines (2010-2016)","","ASG: Abu Sayyaf","nan","Military Forces of t","nan","BARMM","Sulu","Patikul","Patikul","6.0891","121.1052","2","Manila Times; Thai News Service","National-Regional","0","The Abu Sayyaf detonated a roadside bomb on 4 Feb 2016 in Patikul area, Sulu when a military convoy of the Marine Battalion Landing Team 10 was passing, injuring seven soldiers."
"2016-02-05","Battles","Armed clash","BIFF: Bangsamoro Islamic Freedom Fighters","","Military Forces of the Philippines (2010-2016)","","BIFF: Bangsamoro Isl","nan","Military Forces of t","nan","BARMM","Maguindanao","Datu Salibo","Tee","6.9965","124.4558","1","Business Mirror (Philippines)","National","0","A clash occurred between the Bangsamoro Islamic Freedom Fighters (BIFF) and the Army's Second Mechanized Battalion at Sitio Dagading, Barangay Tee, Datu Salibo on 5 Feb 2016, wounding one Army commander."
