,Province,Capital,,Population,Area,Density,Founded,Island_group,Region,Mun_LGUs,City_LGUs,Brgy_LGUs
0,,,,,,,,,,,,
1,,,,,,,,,,,,
2,Abra,Bangued,0.2,241160,"4,165.25 km2(1,608.21 sq mi)",58/km2(150/sq mi),1846,Luzon,CAR,27,—,303
3,Agusan del Norte [i],Cabadbaran[ii][7],0.7,691566,"3,546.86 km2(1,369.45 sq mi)",190/km2(490/sq mi),20 Sep 1907,Mindanao,XIII,10,2,252
4,Agusan del Sur,Prosperidad,0.7,700653,"9,989.52 km2(3,856.98 sq mi)",70/km2(180/sq mi),1 Jan 1970[8],Mindanao,XIII,13,1,314
5,Aklan,Kalibo,0.6,574823,"1,821.42 km2(703.25 sq mi)",320/km2(830/sq mi),8 Nov 1956[9],Visayas,VI,17,—,327
6,Albay,Legazpi,1.3,1314826,"2,575.77 km2(994.51 sq mi)","510/km2(1,300/sq mi)",3 Apr 1574[10],Luzon,V,15,3,720
7,Antique,San Jose de Buenavista,0.6,582012,"2,729.17 km2(1,053.74 sq mi)",210/km2(540/sq mi),10 Mar 1917,Visayas,VI,18,—,590
8,Apayao,Kabugao[iii],0.1,119184,"4,413.35 km2(1,704.00 sq mi)",27/km2(70/sq mi),14 Feb 1995,Luzon,CAR,7,—,133
9,Aurora,Baler,0.2,214336,"3,147.32 km2(1,215.19 sq mi)",68/km2(180/sq mi),13 Aug 1979,Luzon,III,8,—,151
10,Basilan[iv],Lamitan[12],0.5,459367,"1,327.23 km2(512.45 sq mi)[13]",350/km2(910/sq mi),27 Dec 1973,Mindanao,BARMM[v],11,2,255
11,Bataan,Balanga,0.8,760650,"1,372.98 km2(530.11 sq mi)","550/km2(1,400/sq mi)",1754,Luzon,III,11,1,237
12,Batanes,Basco,0,17246,219.01 km2(84.56 sq mi),79/km2(200/sq mi),26 Jun 1783[14],Luzon,II,6,—,29
13,Batangas,Batangas City,2.7,2694335,"3,119.72 km2(1,204.53 sq mi)","860/km2(2,200/sq mi)",8 Dec 1581,Luzon,IV-A,31,3,1078
14,Benguet[vi],La Trinidad,0.8,791590,"2,826.59 km2(1,091.35 sq mi)",280/km2(730/sq mi),16 Jun 1966,Luzon,CAR,13,1,269
15,Biliran,Naval,0.2,171612,536.01 km2(206.95 sq mi),320/km2(830/sq mi),11 May 1992,Visayas,VIII,8,—,132
16,Bohol,Tagbilaran,1.3,1313560,"4,820.95 km2(1,861.38 sq mi)",270/km2(700/sq mi),22 Jul 1854[15],Visayas,VII,47,1,1109
17,Bukidnon,Malaybalay,1.4,1415226,"10,498.59 km2(4,053.53 sq mi)",130/km2(340/sq mi),10 Mar 1917,Mindanao,X,20,2,464
18,Bulacan,Malolos,3.3,3292071,"2,796.10 km2(1,079.58 sq mi)","1,200/km2(3,100/sq mi)",15 Aug 1578,Luzon,III,21,3,569
